코인명,스코어_긍정,스코어_부정,등록시간,스코어_합계,스코어_긍정_SCALING,스코어_부정_SCALING
비트코인,38,132,20210621,-94,0.2878787878787879,1.0
메이저,0,0,20210621,0,0.0,0.0
알트코인,3,7,20210621,-4,0.022727272727272728,0.05303030303030303
라이트코인,0,0,20210621,0,0.0,0.0
도지코인,1,4,20210621,-3,0.007575757575757576,0.030303030303030304
폴카닷,0,0,20210621,0,0.0,0.0
디카르고,0,0,20210621,0,0.0,0.0
마로,0,0,20210621,0,0.0,0.0
페이코인,0,0,20210621,0,0.0,0.0
썸씽,0,0,20210621,0,0.0,0.0
이더리움 클래식,0,0,20210621,0,0.0,0.0
이더리움,0,8,20210621,-8,0.0,0.06060606060606061
비체인,0,0,20210621,0,0.0,0.0
비트코인골드,0,0,20210621,0,0.0,0.0
오브스,0,0,20210621,0,0.0,0.0
모스코인,0,0,20210621,0,0.0,0.0
펀디엑스,0,0,20210621,0,0.0,0.0
카르다노,0,0,20210621,0,0.0,0.0
리플,0,0,20210621,0,0.0,0.0
이오스,0,0,20210621,0,0.0,0.0
엠블,0,0,20210621,0,0.0,0.0
골렘,0,0,20210621,0,0.0,0.0
엘프,0,0,20210621,0,0.0,0.0
스톰엑스,0,0,20210621,0,0.0,0.0
세럼,0,0,20210621,0,0.0,0.0
트론,0,0,20210621,0,0.0,0.0
비트토렌트,0,0,20210621,0,0.0,0.0
가스,0,0,20210621,0,0.0,0.0
온톨로지가스,0,0,20210621,0,0.0,0.0
던프로토콜,0,0,20210621,0,0.0,0.0
스트라이크,0,0,20210621,0,0.0,0.0
스텔라루멘,0,0,20210621,0,0.0,0.0
스트라티스,0,0,20210621,0,0.0,0.0
코모도,0,0,20210621,0,0.0,0.0
비트코인,49,130,20210622,-81,0.3769230769230769,1.0
메이저,0,0,20210622,0,0.0,0.0
알트코인,0,4,20210622,-4,0.0,0.03076923076923077
라이트코인,0,0,20210622,0,0.0,0.0
도지코인,4,5,20210622,-1,0.03076923076923077,0.038461538461538464
폴카닷,0,0,20210622,0,0.0,0.0
디카르고,0,0,20210622,0,0.0,0.0
마로,0,0,20210622,0,0.0,0.0
페이코인,0,0,20210622,0,0.0,0.0
썸씽,0,0,20210622,0,0.0,0.0
이더리움 클래식,0,0,20210622,0,0.0,0.0
이더리움,4,11,20210622,-7,0.03076923076923077,0.08461538461538462
비체인,0,0,20210622,0,0.0,0.0
비트코인골드,0,0,20210622,0,0.0,0.0
오브스,0,0,20210622,0,0.0,0.0
모스코인,0,0,20210622,0,0.0,0.0
펀디엑스,0,0,20210622,0,0.0,0.0
카르다노,0,0,20210622,0,0.0,0.0
리플,0,0,20210622,0,0.0,0.0
이오스,0,0,20210622,0,0.0,0.0
엠블,0,0,20210622,0,0.0,0.0
골렘,0,0,20210622,0,0.0,0.0
엘프,0,0,20210622,0,0.0,0.0
스톰엑스,0,0,20210622,0,0.0,0.0
세럼,0,0,20210622,0,0.0,0.0
트론,0,0,20210622,0,0.0,0.0
비트토렌트,0,0,20210622,0,0.0,0.0
가스,0,0,20210622,0,0.0,0.0
온톨로지가스,0,0,20210622,0,0.0,0.0
던프로토콜,0,0,20210622,0,0.0,0.0
스트라이크,0,0,20210622,0,0.0,0.0
스텔라루멘,0,0,20210622,0,0.0,0.0
스트라티스,0,0,20210622,0,0.0,0.0
코모도,0,0,20210622,0,0.0,0.0
비트코인,47,80,20210623,-33,0.5875,1.0
메이저,0,1,20210623,-1,0.0,0.0125
알트코인,1,1,20210623,0,0.0125,0.0125
라이트코인,0,0,20210623,0,0.0,0.0
도지코인,3,5,20210623,-2,0.037500000000000006,0.0625
폴카닷,0,0,20210623,0,0.0,0.0
디카르고,0,0,20210623,0,0.0,0.0
마로,0,0,20210623,0,0.0,0.0
페이코인,0,0,20210623,0,0.0,0.0
썸씽,0,0,20210623,0,0.0,0.0
이더리움 클래식,0,0,20210623,0,0.0,0.0
이더리움,6,8,20210623,-2,0.07500000000000001,0.1
비체인,0,0,20210623,0,0.0,0.0
비트코인골드,0,0,20210623,0,0.0,0.0
오브스,0,0,20210623,0,0.0,0.0
모스코인,0,0,20210623,0,0.0,0.0
펀디엑스,0,0,20210623,0,0.0,0.0
카르다노,0,0,20210623,0,0.0,0.0
리플,0,0,20210623,0,0.0,0.0
이오스,0,0,20210623,0,0.0,0.0
엠블,0,0,20210623,0,0.0,0.0
골렘,0,0,20210623,0,0.0,0.0
